Time,Mag,Depth_km,Lat,Lon,Remark
1/28/2017 16:20,1.1,13,35.78 N,129.21 E,??? ????? ???? 6km ????
1/28/2017 22:11,0.6,19,35.77 N,129.18 E,??? ????? ???????? 8km ????
1/29/2017 1:07,0.9,13,35.75 N,129.19 E,??? ????? ???????? 10km ????
1/29/2017 4:39,0.8,13,35.78 N,129.20 E,??? ????? ???????? 7km ????
1/29/2017 6:48,1.6,7,35.70 N,129.37 E,??? ????? ?????? 21km ????
1/29/2017 6:51,1.1,13,35.72 N,129.40 E,??? ????? ?????? 21km ????
1/29/2017 16:48,0.8,10,35.78 N,129.20 E,??? ????? ???????? 7km ????
1/29/2017 18:20,0.9,13,35.76 N,129.20 E,??? ????? ???? 9km ????
1/30/2017 13:13,1.3,13,35.77 N,129.17 E,??? ????? ???????? 9km ????
1/31/2017 4:21,1.4,10,35.76 N,129.38 E,??? ????? ???????? 17km ????
2/1/2017 1:43,0.7,11,35.76 N,129.19 E,??? ????? ???????? 9km ????
2/1/2017 4:59,0.9,13,35.80 N,129.38 E,??? ????? ???????? 16km ????
2/1/2017 9:45,1.4,13,35.75 N,129.19 E,??? ????? ???????? 10km ????
2/1/2017 10:54,1.3,12,35.75 N,129.19 E,??? ????? ???????? 10km ????
2/1/2017 16:49,1.6,12,35.75 N,129.18 E,??? ????? ???????? 10km ????
2/3/2017 2:34,1.7,13,35.77 N,129.18 E,??? ????? ???????? 8km ????
2/3/2017 6:37,1.6,8,35.71 N,129.37 E,??? ????? ?????? 20km ????
2/4/2017 1:27,1.1,14,35.77 N,129.20 E,??? ????? ???? 8km ????
2/4/2017 5:48,1.3,13,35.77 N,129.17 E,??? ????? ???????? 9km ????
2/4/2017 15:20,0.3,13,35.76 N,129.17 E,??? ????? ???????? 10km ????
2/4/2017 19:36,1.1,13,35.75 N,129.19 E,??? ????? ???????? 10km ????
2/5/2017 0:52,1.4,14,35.76 N,129.18 E,??? ????? ???????? 9km ????
2/5/2017 13:50,1.3,14,35.77 N,129.19 E,??? ????? ???????? 8km ????
2/5/2017 14:18,1.3,14,35.76 N,129.19 E,??? ????? ???????? 9km ????
2/5/2017 18:40,1,14,35.76 N,129.19 E,??? ????? ???????? 9km ????
2/6/2017 1:11,1.3,11,35.77 N,129.19 E,??? ????? ???????? 8km ????
